index,hip-hop,gangsta,freestyle,backpacker,trap
hip-hop,1.0,0.69617,0.6489,0.63919,0.6354
gangsta,0.69617,1.0,0.80145,0.76056,0.67876
freestyle,0.6489,0.80145,1.0,0.68562,0.69396
backpacker,0.63919,0.76056,0.68562,1.0,0.6447
trap,0.6354,0.67876,0.69396,0.6447,1.0
