index,thrash,grindcore,crust,hardcore,hippy,d-beat,math-rock,death-metal
thrash,1.0,0.83279,0.82255,0.84209,0.40142,0.75402,0.84284,0.68678
grindcore,0.83279,1.0,0.85395,0.76413,0.57028,0.7727,0.83073,0.7874
crust,0.82255,0.85395,1.0,0.76644,0.61732,0.86669,0.80009,0.81852
hardcore,0.84209,0.76413,0.76644,1.0,0.37033,0.60153,0.73277,0.55709
hippy,0.40142,0.57028,0.61732,0.37033,1.0,0.64837,0.3429,0.62539
d-beat,0.75402,0.7727,0.86669,0.60153,0.64837,1.0,0.75058,0.86713
math-rock,0.84284,0.83073,0.80009,0.73277,0.3429,0.75058,1.0,0.7891
death-metal,0.68678,0.7874,0.81852,0.55709,0.62539,0.86713,0.7891,1.0
